utc	hst	ignore	number of seconds	GS id	orbital events	azimuth	elevation of antenna	seconds from aos0	seconds from aos1
2024-04-18T11:37:59Z	2024-04-18T01:37:59Z	0.00000	  60418.48472	ksat_spain	AOS0	 129.3	  10.7	  0.0	-66.5
2024-04-18T11:39:06Z	2024-04-18T01:39:06Z	0.00077	  60418.48549	ksat_spain	AOS1	 139.8	  20.1	 66.5	  0.0
2024-04-18T11:41:10Z	2024-04-18T01:41:10Z	0.00220	  60418.48692	ksat_spain	TCA	-142.5	  52.3	190.5	124.0
2024-04-18T11:43:13Z	2024-04-18T01:43:13Z	0.00363	  60418.48835	ksat_spain	LOS1	 -67.5	  20.0	313.5	247.0
2024-04-18T11:46:31Z	2024-04-18T01:46:31Z	0.00593	  60418.49065	ksat_spain	LOS0	 -50.2	  -0.0	512.0	445.5
2024-04-18T12:20:16Z	2024-04-18T02:20:16Z	0.02936	  60418.51408	ksat_newzealand	AOS0	  88.2	   0.0	  0.0	-201.0
2024-04-18T12:23:37Z	2024-04-18T02:23:37Z	0.03169	  60418.51641	ksat_newzealand	AOS1	  82.3	  20.1	201.0	  0.0
2024-04-18T12:25:48Z	2024-04-18T02:25:48Z	0.03321	  60418.51793	ksat_newzealand	TCA	 149.7	  58.6	332.0	131.0
2024-04-18T12:27:58Z	2024-04-18T02:27:58Z	0.03470	  60418.51942	ksat_newzealand	LOS1	-142.7	  20.0	461.5	260.5
2024-04-18T12:31:16Z	2024-04-18T02:31:16Z	0.03700	  60418.52172	ksat_newzealand	LOS0	-140.9	  -0.0	659.5	458.5
2024-04-18T12:48:20Z	2024-04-18T02:48:20Z	0.04885	  60418.53357	mc3_monterey	AOS0	  25.6	   0.0	  0.0	-206.5
2024-04-18T12:51:47Z	2024-04-18T02:51:47Z	0.05124	  60418.53596	mc3_monterey	AOS1	   9.1	  20.1	206.5	  0.0
2024-04-18T12:53:35Z	2024-04-18T02:53:35Z	0.05250	  60418.53722	mc3_monterey	TCA	 -44.8	  36.9	315.0	108.5
2024-04-18T12:55:24Z	2024-04-18T02:55:24Z	0.05376	  60418.53848	mc3_monterey	LOS1	 -97.0	  19.9	423.5	217.0
2024-04-18T12:58:51Z	2024-04-18T02:58:51Z	0.05616	  60418.54088	mc3_monterey	LOS0	-107.3	  -0.0	631.0	424.5
2024-04-18T14:16:06Z	2024-04-18T04:16:06Z	0.10980	  60418.59452	mc3_oahu	AOS0	  26.9	   0.0	  0.0	-199.0
2024-04-18T14:19:25Z	2024-04-18T04:19:25Z	0.11210	  60418.59682	mc3_oahu	AOS1	  15.1	  20.0	199.0	  0.0
2024-04-18T14:21:26Z	2024-04-18T04:21:26Z	0.11350	  60418.59822	mc3_oahu	TCA	 -52.2	  48.9	320.0	121.0
2024-04-18T14:23:26Z	2024-04-18T04:23:26Z	0.11490	  60418.59962	mc3_oahu	LOS1	-117.8	  19.9	440.5	241.5
2024-04-18T14:26:45Z	2024-04-18T04:26:45Z	0.11720	  60418.60192	mc3_oahu	LOS0	-125.4	  -0.0	639.5	440.5
2024-04-18T14:25:19Z	2024-04-18T04:25:19Z	0.11620	  60418.60092	mc3_monterey	AOS0	  66.5	   0.0	  0.0	-250.5
2024-04-18T14:29:29Z	2024-04-18T04:29:29Z	0.11910	  60418.60382	mc3_monterey	AOS1	 119.7	  20.0	250.5	  0.0
2024-04-18T14:30:23Z	2024-04-18T04:30:23Z	0.11972	  60418.60444	mc3_monterey	TCA	 146.5	  22.4	304.5	 54.0
2024-04-18T14:31:17Z	2024-04-18T04:31:17Z	0.12034	  60418.60506	mc3_monterey	LOS1	 173.2	  20.0	358.0	107.5
2024-04-18T14:35:28Z	2024-04-18T04:35:28Z	0.12325	  60418.60797	mc3_monterey	LOS0	-126.1	  -0.0	609.5	359.0
2024-04-18T19:19:04Z	2024-04-18T09:19:04Z	0.32020	  60418.80492	mc3_monterey	AOS0	 126.7	   0.0	  0.0	-270.0
2024-04-18T19:23:34Z	2024-04-18T09:23:34Z	0.32332	  60418.80804	mc3_monterey	AOS1	-163.0	  20.0	270.0	  0.0
2024-04-18T19:24:08Z	2024-04-18T09:24:08Z	0.32371	  60418.80843	mc3_monterey	TCA	-146.5	  20.8	303.5	 33.5
2024-04-18T19:24:40Z	2024-04-18T09:24:40Z	0.32409	  60418.80881	mc3_monterey	LOS1	-130.7	  20.0	336.0	 66.0
2024-04-18T19:29:09Z	2024-04-18T09:29:09Z	0.32720	  60418.81192	mc3_monterey	LOS0	 -68.2	  -0.0	605.0	335.0
2024-04-18T20:55:39Z	2024-04-18T10:55:39Z	0.38727	  60418.87199	mc3_monterey	AOS0	 108.5	   0.0	  0.0	-203.5
2024-04-18T20:59:03Z	2024-04-18T10:59:03Z	0.38962	  60418.87434	mc3_monterey	AOS1	 101.7	  20.0	203.5	  0.0
2024-04-18T21:00:58Z	2024-04-18T11:00:58Z	0.39096	  60418.87568	mc3_monterey	TCA	  43.6	  41.8	319.0	115.5
2024-04-18T21:02:53Z	2024-04-18T11:02:53Z	0.39229	  60418.87701	mc3_monterey	LOS1	 -14.8	  20.0	433.5	230.0
